nodes,connections,eig_vector,random_surf,recursive,iterative_matrix
11,10,0.0005036690272390842,3.0545024792663753,0.00024016178213059902,0.0012658671475946903
12,10,0.0009537669830024242,2.1991302154492587,9.571504779160023e-05,0.0002755052410066128
13,10,0.0003912299871444702,3.4608222970273346,0.00010213488712906837,0.0002470030449330807
14,10,0.0002963461447507143,2.755005769431591,0.00010407599620521069,0.00018105283379554749
15,10,0.00030618184246122837,3.816900605801493,0.00010399729944765568,0.00018538977019488811
16,10,0.00034798402339220047,5.553236070787534,0.0001233462244272232,0.00019133812747895718
17,10,0.00033446401357650757,2.71574822277762,0.00014691194519400597,0.00019251019693911076
18,10,0.0003443588502705097,4.216798871057108,0.0001403321512043476,0.00030971807427704334
19,10,0.00037900195457041264,2.5250091846100986,0.00017009791918098927,0.00020639109425246716
20,10,0.00036839512176811695,5.324396485229954,0.00019379309378564358,0.00021172896958887577
21,10,0.00038635311648249626,8.950194555101916,0.00018064212054014206,0.0002601831220090389
22,10,0.0004488169215619564,6.867032123263925,0.00018467777408659458,0.00024634087458252907
23,10,0.0004211252089589834,10.162827155319974,0.00023551401682198048,0.00023004598915576935
24,10,0.00043716910295188427,13.69557026331313,0.00028174417093396187,0.0002706481609493494
25,10,0.00046289688907563686,11.037590157939121,0.0002109277993440628,0.00024412712082266808
26,10,0.0004743151366710663,15.00156865734607,0.00022385688498616219,0.0003576686140149832
27,10,0.0005308301188051701,18.892551434924826,0.00023444206453859806,0.00028648111037909985
28,10,0.0005375598557293415,13.254917041398585,0.00030608009546995163,0.00027418555691838264
29,10,0.0006057030986994505,65.83358123269863,0.0003832972142845392,0.00032859272323548794
30,10,0.0005508798640221357,11.559582129586488,0.0003129607066512108,0.00029243272729218006
31,10,0.0005814258474856615,21.0135265274439,0.00031458400189876556,0.00028058188036084175
32,10,0.0006301091052591801,29.260688883718103,0.0002596108242869377,0.00030266796238720417
33,10,0.000631681876257062,23.269752979511395,0.000362154096364975,0.0003451311495155096
34,10,0.0006614071317017078,24.657137147383764,0.00029176915995776653,0.0003422447480261326
35,10,0.0007426689844578505,15.560181861743331,0.00033013755455613136,0.00033420370891690254
36,10,0.0006997049786150455,25.08167896908708,0.0003745751455426216,0.0003705490380525589
37,10,0.0007648321334272623,48.7492834511213,0.0004077248740941286,0.00036959582939743996
38,10,0.0008042920380830765,29.241493579698727,0.0004213873762637377,0.00035190884955227375
39,10,0.0007885580416768789,37.92967143910937,0.00041416403837502003,0.00039435294456779957
40,10,0.0008261450566351414,31.294833426130936,0.00043640797957777977,0.00040300795808434486
41,10,0.0008350689895451069,49.498889331007376,0.0006141557823866606,0.00042133708484470844
42,10,0.0009043528698384762,34.65904210135341,0.00039521465077996254,0.0004187400918453932
43,10,0.0009721049573272467,67.79256278369576,0.00048826728016138077,0.0004618670791387558
44,10,0.0009798570536077023,38.22740633622743,0.0005533040966838598,0.00043322169221937656
45,10,0.000973978079855442,41.12649782351218,0.0005759680643677711,0.0004508090205490589
46,10,0.0010557819623500109,87.12238724925555,0.0007295198738574982,0.0004911688156425953
47,10,0.0011653457768261433,40.70937229972333,0.0006869463250041008,0.0004970375448465347
48,10,0.0011086009908467531,73.89668386871926,0.0004956552293151617,0.0004804343916475773
49,10,0.0011523370631039143,69.54453918687068,0.0006197053007781506,0.0005051011685281992
50,10,0.001273079076781869,158.17714360635728,0.000658741919323802,0.0007347173523157835
51,10,0.0015029641799628735,73.42641504621133,0.0005335037130862474,0.0005088071338832378
52,10,0.0013071198482066393,60.68222174071707,0.000654867384582758,0.000555297126993537
53,10,0.0013651070185005665,103.43526207027026,0.0006983208004385233,0.0005818977952003479
54,10,0.0013636450748890638,76.80824271216989,0.0007648440077900887,0.0005652990657836199
55,10,0.001478348160162568,41.0200506830588,0.0005753058940172195,0.0005774491000920534
56,10,0.0015406720340251923,50.53877909691073,0.0009918671566992998,0.0006452219095081091
57,10,0.0016244989819824696,85.93409368419088,0.0007079471834003925,0.0006154987495392561
58,10,0.0016551448497921228,67.35766844148748,0.0008124061860144138,0.0006123920902609825
59,10,0.0017866420093923807,81.7220709619578,0.0007631301414221525,0.0006575619336217642
60,10,0.0017101769335567951,114.88838931289501,0.0008422399405390024,0.0009027700871229172
61,10,0.0019331928342580795,77.55128056625836,0.0008943669963628054,0.0006914711557328701
62,10,0.0018905089236795902,135.10719028511085,0.0022271538618952036,0.0010583826806396246
63,10,0.0018612949643284082,90.27870265766978,0.0007821600884199142,0.0007242902647703886
64,10,0.002020715968683362,138.11146692652255,0.0007916130125522614,0.0006924443878233433
65,10,0.0020075158681720495,139.20923622744158,0.0009295318741351366,0.0007647019810974598
66,10,0.0021010059863328934,105.25309625407681,0.0008492299821227789,0.0007381737232208252
67,10,0.0021733250468969345,193.22748188814148,0.0010271279606968164,0.0010610888712108135
68,10,0.0023131559137254953,188.47581213410012,0.0012147021479904652,0.0008603583555668592
69,10,0.0022726450115442276,152.94602201553062,0.001103200949728489,0.0008193161338567734
70,10,0.0023852239828556776,86.01574054383673,0.0011584640014916658,0.0008085486479103565
71,10,0.0024944189935922623,164.30071466532536,0.0010103336535394192,0.0008437607903033495
72,10,0.002560058142989874,104.09517386555672,0.001027256716042757,0.000846074428409338
73,10,0.0026188769843429327,80.84471086016856,0.0011625417973846197,0.0008860952220857143
74,10,0.0026881808880716562,138.32738560577855,0.0010890411213040352,0.001158405328169465
75,10,0.0028627850115299225,129.89979112590663,0.0012295020278543234,0.0009274089243263006
76,10,0.01222966006025672,122.90863073244691,0.0013367158826440573,0.0009730767924338579
77,10,0.003424030961468816,184.67180111794733,0.0011920249089598656,0.0009908825159072876
78,10,0.0034483468625694513,179.49568264302798,0.0012429042253643274,0.000961510231718421
79,10,0.0032398628536611795,141.76075630099513,0.0013212698977440596,0.0010040439665317535
80,10,0.003357178997248411,246.0495287552476,0.0014199989382177591,0.001061940798535943
81,10,0.003840827848762274,243.10200345376506,0.0010546089615672827,0.0010608250740915537
